x	 y
0.852941176	0.692982456
0.802941176	0.820175439
0.894117647	0.850877193
0.929411765	1.092105263
0.952941176	1.267543860
0.973529412	1.460526316
0.988235294	1.596491228
1.002941176	1.736842105
1.014705882	1.855263158
1.026470588	1.982456140
1.041176471	2.131578947
1.058823529	2.280701754
1.070588235	2.442982456
1.088235294	2.587719298
1.100000000	2.692982456
0.911764706	0.964912281
0.876470588	0.771929825
0.985294118	0.728070175
1.000000000	0.850877193
1.035294118	1.175438596
1.047058824	1.324561404
1.061764706	1.491228070
1.076470588	1.653508772
1.094117647	1.807017544
1.105882353	1.991228070
1.120588235	2.157894737
1.135294118	2.337719298
1.150000000	2.521929825
1.164705882	2.671052632
1.017647059	1.017543860
0.823529412	0.763157895
0.744117647	0.942982456
0.661764706	1.078947368
0.564705882	1.206140351
0.482352941	1.293859649
0.400000000	1.350877193
0.320588235	1.364035088
0.247058824	1.342105263
0.188235294	1.307017544
0.135294118	1.263157895
0.070588235	1.166666667
0.026470588	1.026315789
